zip,settlement,settlement_part
5906,Orosháza,Tatársánc
8611,Siófok,Balatonkiliti
3515,Miskolc,Egyetemváros
4077,Debrecen,Nagycsere
5722,Sarkad,Cukorgyár
8103,Várpalota,Inota
2036,Érd,Érdliget
7714,Mohács,Újmohács
7714,Mohács,Mohács-Újmohács
8752,Zalakomár,Komárváros
8752,Zalakomár,Zalakomár-Komárváros
8531,MarcaltőIhász
5461,Tiszaföldvár,Homok
8581,Bakonyjákó,Járiföld
8531,Marcaltő,Marcaltő-Ihász
4486,Tiszatelek,Kétérköz
5461,Tiszaföldvár,Tiszaföldvár-Homok
7715,Mohács,Mohács-Sárhát
8591,Pápa,Kéttornyúlak
3078,Bátonyterenye,Kisterenye
7715,Mohács,Sárhát
4486,Tiszatelek,Tiszatelek-Kétérköz
4063,Debrecen,Nagymacs
3517,Miskolc,Lillafüred
4063,Debrecen,Debrecen-Nagymacs
8785,Zalaszentgrót,Zalakoppány
9183,Mosonszentmiklós,Mosonújhely
9407,Sopron,Sopronkőhida
3024,Lőrinci,Lőrinci-Selyp
8182,Berhida,Peremartongyártelep
9407,Sopron,Sopron-Sopronkőhida
3024,Lőrinci,Selyp
9183,Mosonszentmiklós,Mosonszentmiklós-Mosonújhely
7300,Komló,Mecsekjánosi
9168,Csorna,Földsziget
9909,Körmend,Horvátnádalja
8714,Marcali,Keleviz
7400,Kaposvár,Toponár
8182,Berhida,Berhida-Peremartongyártelep
